Name,URL,Description,Language,Stars,Archived
haproxy/haproxy,https://github.com/haproxy/haproxy,HAProxy Load Balancer's development branch (mirror of git.haproxy.org),C,5852,False
H-M-H/Weylus,https://github.com/H-M-H/Weylus,Use your tablet as graphic tablet/touch screen on your computer.,Rust,8142,False
nlohmann/json,https://github.com/nlohmann/json,JSON for Modern C++,C++,46873,False
Liniyous/ElaWidgetTools,https://github.com/Liniyous/ElaWidgetTools,Fluent-UI For QT-Widget,C++,1746,False
log159/LogChat,https://github.com/log159/LogChat,LogChat / 对数聊天 — 轻量支持Live2d的AI聊天客户端!,C++,132,False
ahmetoner/whisper-asr-webservice,https://github.com/ahmetoner/whisper-asr-webservice,OpenAI Whisper ASR Webservice API,Python,2835,False
Artrajz/vits-simple-api,https://github.com/Artrajz/vits-simple-api,"A simple VITS HTTP API, developed by extending Moegoe with additional features.",Python,1006,False
Zao-chen/ZcChat,https://github.com/Zao-chen/ZcChat,一个模仿Galgame效果的AI桌宠 | An AI desktop pet that mimics the effects of a Galgame,C++,355,False
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,"Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoring—all for free or enjoy our SaaS plan!",Python,26207,False
certimate-go/certimate,https://github.com/certimate-go/certimate,"开源的 SSL 证书管理工具，可以帮助你自动申请、部署 SSL 证书，并在证书即将过期时自动续期。An open-source SSL certificate management tool that helps you automatically apply for and deploy SSL certificates, as well as automatically renew them when they are about to expire.",Go,7283,False
windingwind/zotero-actions-tags,https://github.com/windingwind/zotero-actions-tags,Customize your Zotero workflow.,TypeScript,2299,False
windingwind/zotero-better-notes,https://github.com/windingwind/zotero-better-notes,Everything about note management. All in Zotero.,TypeScript,6655,False
Make-md/makemd,https://github.com/Make-md/makemd,,TypeScript,1602,False
huggingface/smollm,https://github.com/huggingface/smollm,Everything about the SmolLM and SmolVLM family of models ,Python,3132,False
Dao-AILab/flash-attention,https://github.com/Dao-AILab/flash-attention,Fast and memory-efficient exact attention,Python,18964,False
boson-ai/higgs-audio,https://github.com/boson-ai/higgs-audio,Text-audio foundation model from Boson AI,Python,6847,False
ShaohonChen/Qwen3-SmVL,https://github.com/ShaohonChen/Qwen3-SmVL,将SmolVLM2的视觉头与Qwen3-0.6B模型进行了拼接微调,Python,260,False
wehos/Xiao8,https://github.com/wehos/Xiao8,"Lanlan, a user-friendly, audio-native AI for all scenarios, ready to use in just 3 minutes.",Python,156,False
sqlc-dev/sqlc,https://github.com/sqlc-dev/sqlc,Generate type-safe code from SQL,Go,15762,False
vrm-c/UniVRM,https://github.com/vrm-c/UniVRM,UniVRM is a gltf-based VRM format implementation for Unity. English is here https://vrm.dev/en/ . 日本語 はこちら https://vrm.dev/,C#,2991,False
Trans-N-ai/swama,https://github.com/Trans-N-ai/swama,High-performance MLX-based LLM inference engine for macOS with native Swift implementation,Swift,386,False
bosun-ai/kwaak,https://github.com/bosun-ai/kwaak,Burn through tech debt with AI agents!,Rust,280,False
stashapp/stash,https://github.com/stashapp/stash,"An organizer for your porn, written in Go.  Documentation:  https://docs.stashapp.cc",Go,10826,False
yuin/goldmark,https://github.com/yuin/goldmark,":trophy: A markdown parser written in Go. Easy to extend, standard(CommonMark) compliant, well structured.",Go,4262,False
DreamMaoMao/mangowc,https://github.com/DreamMaoMao/mangowc,wayland compositor base wlroots and scenefx(dwl but no suckless),C,487,False
microcosm-cc/bluemonday,https://github.com/microcosm-cc/bluemonday,bluemonday: a fast golang HTML sanitizer (inspired by the OWASP Java HTML Sanitizer) to scrub user generated content of XSS,Go,3489,False
moby/moby,https://github.com/moby/moby,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,70486,False
sirupsen/logrus,https://github.com/sirupsen/logrus,"Structured, pluggable logging for Go.",Go,25430,False
rhysd/kiro-editor,https://github.com/rhysd/kiro-editor,A small terminal UTF-8 text editor written in Rust 📝🦀,Rust,751,False
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,"Examples and server integrations for generating the Swagger API Specification, which enables easy access to your REST API",Java,7445,False
oapi-codegen/oapi-codegen,https://github.com/oapi-codegen/oapi-codegen,Generate Go client and server boilerplate from OpenAPI 3 specifications,Go,7483,False
Redocly/redoc,https://github.com/Redocly/redoc,📘  OpenAPI/Swagger-generated API Reference Documentation,TypeScript,24790,False
livekit/livekit,https://github.com/livekit/livekit,End-to-end realtime stack for connecting humans and AI,Go,13812,False
